Date,Ticker,Start Balance,Investment,Entry Time,Entry Price,Peak Price,Exit Time,Exit Price,Gross P&L $,Tax Deducted $,Net P&L $,ROI %,New Balance,Drawdown %,Result
2025-11-03,O:XSP251103C00689000,600.0,450.0,23:55,0.67,0.78,22:31,0.585,-57.089552238806014,0.0,-57.089552238806014,-12.686567164179113,542.910447761194,-9.514925373134343,STOP
2025-11-04,O:XSP251104C00681000,542.910447761194,407.18283582089543,23:15,0.71,0.97,22:32,0.7275,10.036196657557324,2.689700704225363,7.346495953331962,1.8042253521126836,550.256943714526,-8.29050938091234,STOP
2025-11-05,O:XSP251105C00679000,550.256943714526,412.69270778589447,22:50,1.03,1.03,22:35,0.7725,-103.17317694647365,0.0,-103.17317694647365,-25.000000000000007,447.0837667680523,-25.48603887199128,STOP
2025-11-06,O:XSP251106C00682000,447.0837667680523,335.31282507603925,00:15,0.37,0.57,22:41,0.4275,52.109425518573666,13.965326038977743,38.14409947959592,11.375675675675675,485.22786624764825,-19.12868895872529,STOP
2025-11-07,O:XSP251107C00676000,485.22786624764825,363.9208996857362,23:30,0.2,0.24,22:31,0.18,-36.39208996857364,0.0,-36.39208996857364,-10.000000000000007,448.8357762790746,-25.1940372868209,STOP
2025-11-10,O:XSP251110C00682000,448.8357762790746,336.6268322093059,01:15,0.49,0.81,22:50,0.6075,80.72174037672136,21.633426420961325,59.08831395576003,17.553061224489802,507.92409023483464,-15.345984960860894,STOP
2025-11-11,O:XSP251111C00685000,507.92409023483464,380.94306767612596,22:30,0.38,0.38,22:33,0.28500000000000003,-95.23576691903146,0.0,-95.23576691903146,-24.999999999999993,412.6883233158032,-31.218612780699466,STOP
2025-11-12,O:XSP251112C00690000,412.6883233158032,309.5162424868524,00:35,0.15,0.2,22:30,0.15000000000000002,5.727200981739444e-14,1.534889863106171e-14,4.192311118633273e-14,1.354472090042691e-14,412.68832331580325,-31.218612780699463,STOP
2025-11-13,O:XSP251113C00688000,412.68832331580325,309.51624248685243,23:15,0.12,0.13,22:31,0.0975,-58.03429546628482,0.0,-58.03429546628482,-18.749999999999993,354.65402784951846,-40.89099535841359,STOP
2025-11-14,O:XSP251114C00674000,354.65402784951846,265.9905208871388,23:15,0.4,0.95,23:02,0.7124999999999999,207.8050944430771,55.69176531074467,152.11332913233244,57.18749999999997,506.76735698185087,-15.538773836358189,STOP
2025-11-17,O:XSP251117C00679000,506.76735698185087,380.0755177363882,00:30,0.08,0.15,22:30,0.11249999999999999,154.40567908040762,41.380721993549244,113.02495708685838,29.737499999999983,619.7923140687093,0.0,STOP
2025-11-18,O:XSP251118C00667000,619.7923140687093,464.84423555153194,23:45,1.21,1.74,22:32,1.305,36.496035022640925,9.780937386067768,26.715097636573155,5.747107438016527,646.5074117052825,0.0,STOP
2025-11-19,O:XSP251119C00664000,646.5074117052825,484.88055877896187,22:40,1.68,5.36,23:39,4.0200000000000005,675.36934972784,180.99898572706113,494.37036400077886,101.9571428571429,1140.8777757060614,0.0,STOP
2025-11-20,O:XSP251120C00674000,1140.8777757060614,855.658331779546,01:55,2.5,3.75,23:08,2.8125,106.95729147244325,28.66455411461479,78.29273735782846,9.15,1219.1705130638898,0.0,STOP
2025-11-21,O:XSP251121C00657000,1219.1705130638898,914.3778847979173,22:35,3.49,5.2,22:30,3.9000000000000004,107.41975150921095,28.788493404468536,78.63125810474241,8.599426934097423,1297.801771168632,0.0,STOP
