Date,Ticker,Start Balance,Investment,Entry Time,Entry Price,Peak Price,Exit Time,Exit Price,P&L $,ROI %,New Balance,Drawdown %,Result
2025-11-03,O:XSP251103C00689000,600.0,450.0,17:20,0.67,0.78,17:20,0.585,-57.089552238806014,-12.686567164179117,542.910447761194,-9.514925373134343,STOP
2025-11-04,O:XSP251104C00686000,542.910447761194,407.18283582089543,17:25,0.08,0.09,17:25,0.0675,-63.6223180970149,-15.624999999999996,479.28812966417905,-20.11864505597016,STOP
2025-11-05,O:XSP251105C00676000,479.28812966417905,359.4660972481343,17:10,2.67,6.82,17:10,5.115,329.17401040138145,91.57303370786518,808.4621400655606,0.0,STOP
2025-11-06,O:XSP251106C00681000,808.4621400655606,606.3466050491704,17:05,0.64,0.92,17:05,0.6900000000000001,47.37082851946648,7.812500000000007,855.8329685850271,0.0,STOP
2025-11-07,O:XSP251107C00675000,855.8329685850271,641.8747264387703,17:10,0.26,0.36,17:10,0.27,24.687489478414264,3.8461538461538494,880.5204580634413,0.0,STOP
2025-11-10,O:XSP251110C00680000,880.5204580634413,660.390343547581,20:00,1.3,2.0,20:00,1.5,101.59851439193551,15.38461538461538,982.1189724553768,0.0,STOP
2025-11-11,O:XSP251111C00686000,982.1189724553768,736.5892293415326,17:45,0.2,0.21,17:45,0.1575,-156.5252112350757,-21.250000000000004,825.5937612203011,-15.937500000000007,STOP
2025-11-12,O:XSP251112C00688000,825.5937612203011,619.1953209152258,16:20,0.61,0.67,16:20,0.5025000000000001,-109.1204868826012,-17.62295081967212,716.4732743376999,-27.04821977459016,STOP
2025-11-13,O:XSP251113C00688000,716.4732743376999,537.3549557532749,16:55,0.12,0.13,16:55,0.0975,-100.754054203739,-18.749999999999993,615.7192201339609,-37.30706386878842,STOP
2025-11-14,O:XSP251114C00677000,615.7192201339609,461.7894151004707,17:00,0.13,0.17,17:00,0.1275,-8.88056567500906,-1.9230769230769247,606.8386544589519,-38.211288909142425,STOP
2025-11-17,O:XSP251117C00679000,606.8386544589519,455.1289908442139,19:25,0.08,0.15,19:25,0.11249999999999999,184.89615253046182,40.624999999999986,791.7348069894136,-19.385040998646772,STOP
2025-11-18,O:XSP251118C00671000,791.7348069894136,593.8011052420602,16:40,0.32,0.45,16:40,0.3375,32.4734979429252,5.468750000000004,824.2083049323388,-16.078568070856893,STOP
2025-11-19,O:XSP251119C00664000,824.2083049323388,618.1562286992541,16:45,1.68,5.36,16:45,4.0200000000000005,861.00331854539,139.28571428571433,1685.2116234777288,0.0,STOP
2025-11-20,O:XSP251120C00674000,1685.2116234777288,1263.9087176082967,16:15,2.5,3.75,16:15,2.8125,157.98858970103709,12.5,1843.2002131787658,0.0,STOP
2025-11-21,O:XSP251121C00658000,1843.2002131787658,1382.4001598840744,16:20,2.97,3.15,16:20,2.3625,-282.76366906719716,-20.454545454545467,1560.4365441115688,-15.340909090909092,STOP
