Date,Ticker,Start Balance,Investment,Entry Time,Entry Price,Peak Price,Exit Time,Exit Price,Gross P&L $,Tax Deducted $,Net P&L $,ROI %,New Balance,Drawdown %,Result
2025-11-03,O:XSP251103C00689000,600.0,540.0,23:55,0.67,0.78,22:31,0.585,-68.50746268656722,0.0,-68.50746268656722,-12.686567164179117,531.4925373134328,-11.417910447761207,STOP
2025-11-04,O:XSP251104C00681000,531.4925373134328,478.3432835820895,23:15,0.71,0.97,22:32,0.7275,11.790151355896622,3.1597605633802948,8.630390792516327,1.8042253521126834,540.1229281059491,-9.979511982341819,STOP
2025-11-05,O:XSP251105C00679000,540.1229281059491,486.1106352953542,22:50,1.03,1.03,22:35,0.7725,-121.52765882383858,0.0,-121.52765882383858,-25.000000000000007,418.5952692821105,-30.234121786314915,STOP
2025-11-06,O:XSP251106C00682000,418.5952692821105,376.73574235389947,00:15,0.37,0.57,22:41,0.4275,58.546770771214106,15.69053456668538,42.85623620452873,11.375675675675675,461.45150548663923,-23.091415752226794,STOP
2025-11-07,O:XSP251107C00676000,461.45150548663923,415.3063549379753,23:30,0.2,0.24,22:31,0.18,-41.53063549379756,0.0,-41.53063549379756,-10.000000000000007,419.9208699928417,-30.013188334526387,STOP
2025-11-10,O:XSP251110C00682000,419.9208699928417,377.92878299355755,01:15,0.49,0.81,22:50,0.6075,90.62577959539394,24.287708931565575,66.33807066382836,17.553061224489802,486.25894065667006,-18.956843223888324,STOP
2025-11-11,O:XSP251111C00685000,486.25894065667006,437.63304659100305,22:30,0.38,0.38,22:33,0.28500000000000003,-109.40826164775073,0.0,-109.40826164775073,-24.999999999999993,376.8506790089193,-37.19155349851345,STOP
2025-11-12,O:XSP251112C00690000,376.8506790089193,339.1656111080274,00:35,0.15,0.2,22:30,0.15000000000000002,6.275824510219897e-14,1.6819209687389325e-14,4.5939035414809647e-14,1.3544720900426911e-14,376.85067900891937,-37.191553498513436,STOP
2025-11-13,O:XSP251113C00688000,376.85067900891937,339.16561110802746,23:15,0.12,0.13,22:31,0.0975,-63.59355208275513,0.0,-63.59355208275513,-18.749999999999993,313.25712692616423,-47.79047884563929,STOP
2025-11-14,O:XSP251114C00674000,313.25712692616423,281.9314142335478,23:15,0.4,0.95,23:02,0.7124999999999999,220.2589173699591,59.02938985514904,161.22952751481006,57.18749999999997,474.4866544409743,-20.918890926504286,STOP
2025-11-17,O:XSP251117C00679000,474.4866544409743,427.0379889968769,00:30,0.08,0.15,22:30,0.11249999999999999,173.48418302998115,46.493761052034955,126.9904219779462,29.737499999999983,601.4770764189204,0.0,STOP
2025-11-18,O:XSP251118C00667000,601.4770764189204,541.3293687770284,23:45,1.21,1.74,22:32,1.305,42.50106614365098,11.390285726498464,31.11078041715252,5.747107438016527,632.587856836073,0.0,STOP
2025-11-19,O:XSP251119C00664000,632.587856836073,569.3290711524658,22:40,1.68,5.36,23:39,4.0200000000000005,792.9940633909347,212.5224089887705,580.4716544021642,101.95714285714288,1213.059511238237,0.0,STOP
2025-11-20,O:XSP251120C00674000,1213.059511238237,1091.7535601144134,01:55,2.5,3.75,23:08,2.8125,136.46919501430168,36.57374426383285,99.89545075046883,9.15,1312.954961988706,0.0,STOP
2025-11-21,O:XSP251121C00657000,1312.954961988706,1181.6594657898354,22:35,3.49,5.2,22:30,3.9000000000000004,138.8195934022443,37.20365103180147,101.61594237044282,8.599426934097423,1414.5709043591487,0.0,STOP
