source_id,entry_time_utc,action,root,strike,option_right,expiry_date,quantity,fill_price,net_pnl,fees,status,opra_code
HTML_8457596992022771759,2025-08-21 18:00:00,SELL,XSP,639.0,C,2025-08-21,2.0,0.15,30.0,0.08,FILLED,O:XSP250821C00639000
HTML_4066906434619223810,2025-08-22 14:46:00,BUY,XSP,646.0,P,2025-08-22,1.0,0.8,-79.54,0.04,FILLED,O:XSP250822P00646000
HTML_7504070040146161814,2025-08-22 14:50:00,BUY,XSP,647.0,P,2025-08-22,1.0,1.11,-111.54,0.04,FILLED,O:XSP250822P00647000
HTML_3543538602081000574,2025-08-22 14:51:00,BUY,XSP,650.0,C,2025-08-22,1.0,0.15,-15.54,0.04,FILLED,O:XSP250822C00650000
HTML_6223422363158824828,2025-08-22 16:17:00,SELL,XSP,650.0,C,2025-08-22,1.0,0.04,4.0,0.04,FILLED,O:XSP250822C00650000
HTML_5211994395457791376,2025-08-22 16:29:00,SELL,XSP,647.0,P,2025-08-22,1.0,1.26,126.0,0.04,FILLED,O:XSP250822P00647000
HTML_3064516205989877976,2025-08-22 16:31:00,SELL,XSP,646.0,P,2025-08-22,1.0,0.61,61.0,0.04,FILLED,O:XSP250822P00646000
HTML_1347077656331465081,2025-08-25 13:39:00,BUY,XSP,645.0,P,2025-08-25,1.0,0.74,-74.54,0.04,FILLED,O:XSP250825P00645000
HTML_3471020144315316904,2025-08-25 13:40:00,BUY,XSP,644.0,P,2025-08-25,1.0,0.48,-48.54,0.04,FILLED,O:XSP250825P00644000
HTML_5586826345063424994,2025-08-25 13:40:00,BUY,XSP,647.0,C,2025-08-25,1.0,0.32,-31.54,0.04,FILLED,O:XSP250825C00647000
HTML_1603490578968387098,2025-08-25 13:41:00,BUY,XSP,648.0,C,2025-08-25,1.0,0.15,-15.54,0.04,FILLED,O:XSP250825C00648000
HTML_6974288880860722654,2025-08-25 13:41:00,BUY,XSP,642.0,P,2025-08-25,1.0,0.18,-18.54,0.04,FILLED,O:XSP250825P00642000
HTML_8923734510220984956,2025-08-25 13:43:00,SELL,XSP,647.0,C,2025-08-25,1.0,0.17,17.0,0.04,FILLED,O:XSP250825C00647000
HTML_6672833945907889061,2025-08-25 13:44:00,SELL,XSP,642.0,P,2025-08-25,1.0,0.09,9.0,0.04,FILLED,O:XSP250825P00642000
HTML_3209170138607030069,2025-08-25 13:44:00,SELL,XSP,645.0,P,2025-08-25,1.0,0.49,49.0,0.04,FILLED,O:XSP250825P00645000
HTML_972296858566880141,2025-08-25 13:45:00,SELL,XSP,644.0,P,2025-08-25,1.0,0.24,24.0,0.04,FILLED,O:XSP250825P00644000
HTML_322087307165148189,2025-08-25 17:45:00,SELL,XSP,648.0,C,2025-08-25,1.0,0.01,1.0,0.01,FILLED,O:XSP250825C00648000
HTML_4056953432342660770,2025-08-26 13:37:00,BUY,XSP,642.0,P,2025-08-26,12.0,0.48,-571.35,0.47,FILLED,O:XSP250826P00642000
HTML_8473276611171077918,2025-08-26 13:37:00,BUY,XSP,645.0,C,2025-08-26,4.0,0.36,-146.16,0.16,FILLED,O:XSP250826C00645000
HTML_5121241014508730436,2025-08-26 13:40:00,BUY,XSP,646.0,C,2025-08-26,1.0,0.17,-17.54,0.04,FILLED,O:XSP250826C00646000
HTML_4108898544361215123,2025-08-26 16:41:00,SELL,XSP,642.0,P,2025-08-26,0.0,0.06,0.0,0.0,CANCELED,O:XSP250826P00642000
HTML_8210694245605664818,2025-08-26 16:42:00,SELL,XSP,645.0,C,2025-08-26,4.0,0.39,156.0,0.16,FILLED,O:XSP250826C00645000
HTML_3137565435302802939,2025-08-26 16:42:00,SELL,XSP,646.0,C,2025-08-26,1.0,0.09,9.0,0.04,FILLED,O:XSP250826C00646000
HTML_1821902285350084019,2025-08-26 18:34:00,SELL,XSP,642.0,P,2025-08-26,8.0,0.02,16.0,0.02,FILLED,O:XSP250826P00642000
HTML_2649796266358020736,2025-08-27 13:40:00,BUY,XSP,646.0,P,2025-08-27,3.0,0.59,-178.62,0.12,FILLED,O:XSP250827P00646000
HTML_5675174101014102691,2025-08-27 13:40:00,BUY,XSP,648.0,C,2025-08-27,1.0,0.3,-30.54,0.04,FILLED,O:XSP250827C00648000
HTML_641155771140143359,2025-08-27 15:38:00,SELL,XSP,648.0,C,2025-08-27,1.0,0.38,38.0,0.04,FILLED,O:XSP250827C00648000
HTML_928954127587289893,2025-08-27 16:08:00,SELL,XSP,646.0,P,2025-08-27,3.0,0.09,27.0,0.09,FILLED,O:XSP250827P00646000
HTML_1684000158257900826,2025-08-28 13:39:00,BUY,XSP,646.0,P,2025-08-28,2.0,0.29,-59.08,0.08,FILLED,O:XSP250828P00646000
HTML_1933791651484701927,2025-08-28 13:43:00,SELL,XSP,646.0,P,2025-08-28,2.0,0.9,180.0,0.08,FILLED,O:XSP250828P00646000
HTML_4509931288992211962,2025-08-29 13:43:00,BUY,XSP,646.0,P,2025-08-29,3.0,0.43,-130.62,0.12,FILLED,O:XSP250829P00646000
HTML_6928715522683483123,2025-08-29 13:43:00,BUY,XSP,650.0,C,2025-08-29,1.0,0.41,-40.54,0.04,FILLED,O:XSP250829C00650000
HTML_8740316583503757348,2025-08-29 13:57:00,SELL,XSP,646.0,P,2025-08-29,3.0,0.96,288.0,0.12,FILLED,O:XSP250829P00646000
HTML_8759475747837605399,2025-08-29 13:58:00,SELL,XSP,650.0,C,2025-08-29,1.0,0.22,22.0,0.04,FILLED,O:XSP250829C00650000
HTML_178615619685092146,2025-09-02 13:40:00,BUY,XSP,636.0,P,2025-09-02,2.0,0.98,-197.08,0.08,FILLED,O:XSP250902P00636000
HTML_1137560727594079664,2025-09-02 13:41:00,BUY,XSP,640.0,C,2025-09-02,1.0,0.8,-79.54,0.04,FILLED,O:XSP250902C00640000
HTML_5759747877344657012,2025-09-02 13:41:00,BUY,XSP,640.0,C,2025-09-02,1.0,0.0,-0.8,0.8,FILLED,O:XSP250902C00640000
HTML_866538330937920674,2025-09-02 13:52:00,SELL,XSP,640.0,C,2025-09-02,1.0,1.43,143.0,0.04,FILLED,O:XSP250902C00640000
HTML_8323487330062432482,2025-09-02 14:52:00,SELL,XSP,636.0,P,2025-09-02,1.0,0.39,39.0,0.04,FILLED,O:XSP250902P00636000
HTML_2994491280526767189,2025-09-02 14:52:00,SELL,XSP,636.0,P,2025-09-02,1.0,0.41,41.0,0.04,FILLED,O:XSP250902P00636000
HTML_434779649164655896,2025-09-03 13:40:00,BUY,XSP,644.0,P,2025-09-03,2.0,1.06,-213.08,0.08,FILLED,O:XSP250903P00644000
HTML_7619305555026290758,2025-09-03 13:40:00,BUY,XSP,647.0,C,2025-09-03,1.0,0.14,-13.54,0.04,FILLED,O:XSP250903C00647000
HTML_884346053821698521,2025-09-03 13:44:00,BUY,XSP,646.0,C,2025-09-03,2.0,0.34,-69.08,0.08,FILLED,O:XSP250903C00646000
HTML_7629345842645827652,2025-09-03 14:12:00,SELL,XSP,647.0,C,2025-09-03,1.0,0.04,4.0,0.04,FILLED,O:XSP250903C00647000
HTML_8591539761883812203,2025-09-03 14:12:00,SELL,XSP,646.0,C,2025-09-03,2.0,0.11,22.0,0.08,FILLED,O:XSP250903C00646000
HTML_1770178760939756188,2025-09-03 14:13:00,SELL,XSP,644.0,P,2025-09-03,2.0,1.6,320.0,0.08,FILLED,O:XSP250903P00644000
HTML_59619193354063833,2025-09-04 13:35:00,BUY,XSP,645.0,P,2025-09-04,4.0,0.65,-258.16,0.16,FILLED,O:XSP250904P00645000
HTML_5453833462845467211,2025-09-04 13:40:00,SELL,XSP,645.0,P,2025-09-04,4.0,0.68,272.0,0.16,FILLED,O:XSP250904P00645000
HTML_2179057984633216508,2025-09-04 13:41:00,BUY,XSP,648.0,C,2025-09-04,2.0,0.3,-61.08,0.08,FILLED,O:XSP250904C00648000
HTML_6797623344615738112,2025-09-04 13:41:00,BUY,XSP,644.0,P,2025-09-04,1.0,0.48,-48.54,0.04,FILLED,O:XSP250904P00644000
HTML_5047365073183162579,2025-09-04 13:45:00,SELL,XSP,648.0,C,2025-09-04,2.0,0.3,60.0,0.08,FILLED,O:XSP250904C00648000
HTML_1331765735141494130,2025-09-04 14:15:00,SELL,XSP,644.0,P,2025-09-04,1.0,0.7,70.0,0.04,FILLED,O:XSP250904P00644000
HTML_1710026388842403559,2025-09-05 13:46:00,BUY,XSP,651.0,P,2025-09-05,5.0,0.69,-342.71,0.21,FILLED,O:XSP250905P00651000
HTML_6398296975650233536,2025-09-05 13:46:00,BUY,XSP,653.0,C,2025-09-05,1.0,0.97,-97.54,0.04,FILLED,O:XSP250905C00653000
HTML_6719680803106697935,2025-09-05 13:47:00,BUY,XSP,655.0,C,2025-09-05,1.0,0.27,-26.54,0.04,FILLED,O:XSP250905C00655000
HTML_2894053270515948754,2025-09-05 13:50:00,SELL,XSP,653.0,C,2025-09-05,1.0,1.06,106.0,0.04,FILLED,O:XSP250905C00653000
HTML_1206609503687573846,2025-09-05 13:50:00,SELL,XSP,655.0,C,2025-09-05,1.0,0.32,32.0,0.04,FILLED,O:XSP250905C00655000
HTML_8181802472613726073,2025-09-05 13:53:00,SELL,XSP,651.0,P,2025-09-05,5.0,0.82,410.0,0.21,FILLED,O:XSP250905P00651000
HTML_854594774761291327,2025-09-08 13:41:00,BUY,XSP,648.0,P,2025-09-08,9.0,0.46,-409.88,0.38,FILLED,O:XSP250908P00648000
HTML_8935179223886846767,2025-09-08 13:42:00,BUY,XSP,651.0,C,2025-09-08,3.0,0.4,-118.62,0.12,FILLED,O:XSP250908C00651000
HTML_6626904065002682261,2025-09-08 14:22:00,SELL,XSP,648.0,P,2025-09-08,9.0,0.44,396.0,0.38,FILLED,O:XSP250908P00648000
